# Reality Fracture (FRA) sealed scores, by Claude, 2026-09-25, written before any
# win-rate data existed. Scale: 5 bomb, 4 great, 3.5 very good, 3 good playable,
# 2.5 fine filler, 2 last cuts, 1.5 or less sideboard. Tag rm = deals with a creature.
# Format: collector number | score | tags | note
1|3|| Wins if cast; ten mana is a long way
2|3|| Trick that leaves a Jace behind
3|3|| Flying body plus a counter later
4|2.5|| Aggressive two-drop, Jace from graveyard
5|3|| Lifelink two-drop, can draw cards
6|2.5|| Big body, protects another creature
7|2.5|| Re-uses enter effects each creature
8|2.5|| Two creatures back over the game
9|2|| Needs a life-gain turn
10|2.5|| Three-power three-drop, counters move on
11|3.5|| Grows your whole team every combat
12|3|| Three bodies late, a land early
13|2.5|| Seven-mana wipe you can steer
14|0.5|| Only finds planeswalkers
15|3.5|rm| Removes any nonland permanent
16|2|| Two counters, twice
17|3.5|rm| Two-mana kill, best on attackers
18|2|rm| Only hits green or blue
19|3|| Makes Jace grow every attack
20|1.5|| Nine mana, needs a full graveyard
21|3|| Flyer with a late team pump
22|3|rm| Kills big creatures or draws a card
23|2.5|| Grows in life-gain decks
24|3.5|rm| Instant kill, three mana and up
25|2|| Counterspell, three mana without Jace
26|1.5|| Needs mill on the same turn
27|2.5|| Two-drop, taps a blocker later
28|3|| One-drop that bounces a creature
29|3|| Flash three-drop that taps a blocker
30|2.5|| Soft counter or blunts an attacker
31|3|rm| Aura that shuts a creature off
32|3|| Jace 8: two cards plus surveils
33|3|| Body plus a Jace that draws
34|2.5|| Shrinks a threat or wins a fight
35|2.5|rm| Removes anything for a turn or more
36|1|| Sideboard against white or black
37|3|| Jace 6: three cards over time
38|3.5|| Card filtering that stuns blockers
39|3|| Solid body, a Cadet later
40|4|| Flash flyer that comes back once
41|2.5|| Instant draw two
42|2.5|| Flying wall that can attack
43|4.5|| Draws every turn, makes blockers
44|3|| Flash wall with a Jace 3
45|3|| Big flyer or a land
46|2|| Tempo, saves your creature
47|3|| Flying prowess three-drop
48|3|| Six-power menace or a land
49|2|| Mostly a plain two-drop
50|3.5|rm| Instant edict, takes their best
51|2.5|| Draw two at a price
52|2|| Needs a full graveyard
53|3.5|| Flying haste that keeps returning
54|4|rm| Instant exile, any creature
55|1.5|| Picks from your sideboard
56|3.5|rm| Instant -3/-3
57|4|rm| Three-mana kill plus a weapon
58|3.5|rm| Instant kill most creatures
59|3|| Wipe that hands you a Jace
60|3|| Deathtouch body, deathtouch trick on arrival
61|1.5|| Small body, one discard
62|2.5|| Returns your best creature
63|3.5|| Draws a pile or wipes small creatures
64|3.5|| Jace tokens never die and drain
65|2.5|| Flying wall that drains
66|3.5|rm| Kill; sacrifice a Jace token to pay
67|1.5|| Discard for your opponent
68|2|rm| Only hits blue or red
69|2.5|| Four power early, recursion later
70|2.5|| Mills itself, grows to 3/3
71|4|rm| Two-mana kill, or a big Jace
72|4|rm| Kills anything or goes face
73|1.5|| Cantrip first strike
74|3.5|rm| Six damage or a land
75|3|| Pump trick that draws
76|2.5|| Grows on every spell
77|2.5|| Cadet that keeps coming back
78|3|| Big finisher, three red pips
79|4|| Flying 4/4 that fetches a card
80|4|| Flying 5/5, turns artifact tokens into dragons
81|2|| Makes small attackers unblockable
82|2|rm| Only hits black or green
83|3|| Steals their board for a turn
84|3.5|rm| Five damage or sweeps tokens
85|2|| Card filtering, a point of damage
86|3|| Two bodies for four
87|1.5|| Random swap, rarely worth it
88|2.5|| Pumps the team on burn
89|3.5|rm| Three damage anywhere, plus Jace
90|1.5|| Small, filtering only
91|3|| Three-power three-drop
92|2.5|| Aggressive two-drop
93|3|| Hasty two-drop, recasts a spell
94|3|| Big reach body, two damage
95|3.5|rm| Six damage instant
96|3.5|rm| Four damage instant
97|3|| Deathtouch plus Jace 2
98|3.5|| Two 4/4 tramplers over the game
99|3|| Solid three-drop, kills artifacts
100|3|| Deathtouch two-drop
101|3.5|rm| Instant bite
102|2|rm| Only hits red or white
103|1|| Ramp that needs deaths
104|2.5|| Ramp body, gains life
105|2|| Makes mana, then a Heartwood
106|3.5|| Huge, needs GGGG
107|4|| 5/5 plus mana, grows
108|2.5|| Good equipment for green
109|2.5|| Grows with Jace
110|1|| Eight mana, needs a board
111|2|| Needs an artifact to animate
112|2|| Returns a card, gains life
113|3|| Ramp, draws when it dies
114|2|| Digs for a permanent
115|3|| Two-drop that kills a flyer later
116|3|| Usually a 3/4 or bigger for two
117|2.5|| Pump trick, surprise blocker
118|4.5|| Makes a 3/3 every turn
119|3|| Three counters where you want them
120|3|| 5/5 ward for five
121|4.5|| Flying 5/4 for four plus mana
122|4|| Every land drop grows Jace
123|1.5|| Small recursive lifelinker
124|3.5|| 4/4 that draws on life gain
125|2.5|| Team pump or first-strike trick
126|3|rm| Removes any permanent for a while
